Date,Open,High,Low,Close,Adj Close,Volume
2018-01-10,116000.000000,121000.000000,112000.000000,114000.000000,113353.187500,357741
2018-01-11,114500.000000,118000.000000,112000.000000,114000.000000,113353.187500,194223
2018-01-12,114000.000000,120500.000000,109000.000000,118500.000000,117827.656250,363991
2018-01-15,119500.000000,128500.000000,119000.000000,122000.000000,121307.796875,466797
2018-01-16,122000.000000,122000.000000,118000.000000,120000.000000,119319.148438,183784
2018-01-17,120500.000000,120500.000000,112000.000000,112500.000000,111861.703125,226037
2018-01-18,114500.000000,115000.000000,110500.000000,111500.000000,110867.375000,145401
2018-01-19,111500.000000,115000.000000,111000.000000,111000.000000,110370.210938,109899
2018-01-22,110500.000000,111000.000000,107500.000000,109500.000000,108878.718750,111714
2018-01-23,110500.000000,113500.000000,109000.000000,111000.000000,110370.210938,99852
2018-01-24,111500.000000,116000.000000,111500.000000,115000.000000,114347.515625,135157
2018-01-25,116000.000000,116000.000000,113500.000000,115000.000000,114347.515625,80543
2018-01-26,115000.000000,116000.000000,111500.000000,112500.000000,111861.703125,113248
2018-01-29,113000.000000,113000.000000,111000.000000,112000.000000,111364.539063,102780
2018-01-30,112000.000000,117000.000000,112000.000000,115500.000000,114844.679688,199075
2018-01-31,114500.000000,117000.000000,113000.000000,115000.000000,114347.515625,144616
2018-02-01,115500.000000,116500.000000,112000.000000,112000.000000,111364.539063,103975
2018-02-02,112500.000000,113500.000000,108000.000000,109000.000000,108381.562500,124931
2018-02-05,106000.000000,107500.000000,101500.000000,102500.000000,101918.437500,135075
2018-02-06,98200.000000,103500.000000,95900.000000,101500.000000,100924.109375,189357
2018-02-07,104000.000000,104000.000000,99100.000000,99200.000000,98637.164063,127611
2018-02-08,99000.000000,101500.000000,98200.000000,100000.000000,99432.625000,116615
2018-02-09,97400.000000,102000.000000,96500.000000,100500.000000,99929.789063,110042
2018-02-12,98800.000000,103000.000000,98700.000000,103000.000000,102415.601563,173351
2018-02-13,115000.000000,116500.000000,105500.000000,107000.000000,106392.906250,593574
2018-02-14,107500.000000,109500.000000,103000.000000,105000.000000,104404.257813,154019
2018-02-19,109000.000000,111000.000000,108000.000000,109500.000000,108878.718750,118500
2018-02-20,109000.000000,113000.000000,108500.000000,109500.000000,108878.718750,108680
2018-02-21,110500.000000,114000.000000,109000.000000,113000.000000,112358.867188,121214
2018-02-22,112500.000000,113000.000000,110500.000000,111000.000000,110370.210938,71123
2018-02-23,112000.000000,113500.000000,111500.000000,113500.000000,112856.031250,97859
2018-02-26,113500.000000,114000.000000,109000.000000,110000.000000,109375.882813,152544
2018-02-27,110500.000000,111500.000000,107500.000000,109000.000000,108381.562500,90543
2018-02-28,108000.000000,110000.000000,107500.000000,109000.000000,108381.562500,72980
2018-03-02,107000.000000,108000.000000,105500.000000,106500.000000,105895.742188,83506
2018-03-05,106000.000000,107000.000000,104000.000000,104500.000000,103907.093750,78837
2018-03-06,106000.000000,107000.000000,104500.000000,105000.000000,104404.257813,77860
2018-03-07,105000.000000,107500.000000,104500.000000,106000.000000,105398.578125,64705
